observation,hardware_systems,research_domains,product_process,silicon_design,cloud_infra,other
2026-05-13,152,67,57,63,37,39
2026-05-20,42,13,8,17,9,8
2026-06-10,95,56,47,25,12,22
2026-06-24,43,18,15,15,14,10
2026-07-01,27,19,12,15,14,4
2026-07-08,18,11,18,18,6,7
2026-07-29,94,68,29,44,16,26
2026-08-05,32,11,24,15,8,2
2026-08-12,32,17,11,11,7,5
2026-08-20,34,13,13,17,10,13
2026-08-27,30,32,20,6,9,11
2026-09-02,30,9,15,10,5,11
