company,Google,Meta,Microsoft,NVIDIA
Google,1.0,0.0157,0.0514,0.0751
Meta,0.0157,1.0,0.0986,0.1465
Microsoft,0.0514,0.0986,1.0,0.216
NVIDIA,0.0751,0.1465,0.216,1.0
