company,cloud_infra,hardware_systems,languages,ml_frameworks,mlops_devops,product_process,research_domains,silicon_design
Google,68.7,6.7,4.3,0.0,6.2,9.3,3.3,1.4
Meta,0.0,8.6,2.9,0.0,0.0,2.9,80.0,5.7
Microsoft,60.0,13.3,0.0,0.0,13.3,0.0,13.3,0.0
NVIDIA,8.2,35.1,1.4,0.8,6.6,15.0,18.6,14.3
