posting_month,A/B Testing,Computer Vision,Generative AI,LLMs,Machine Learning,Performance Engineering,Python,Recommender Systems,SQL,Statistics
2024-04,2,5,1,1,10,18,15,2,8,2
2025-09,0,0,1,1,0,0,0,0,0,0
2025-10,0,0,1,1,0,0,0,0,0,0
2025-11,0,1,0,0,0,0,0,0,0,0
2025-12,0,1,0,0,4,0,0,0,0,1
2026-01,0,2,0,0,1,0,0,2,0,0
2026-02,0,2,52,54,6,3,0,54,0,1
2026-04,6,2,0,1,4,3,8,0,6,6
2026-05,4,0,1,2,2,0,4,0,4,2
2026-06,11,6,2,4,13,12,21,5,13,9
