category,postings_with_category,pct_of_postings
research_domains,130,62.2
languages,63,30.1
hardware_systems,46,22.0
analytics_bi,31,14.8
product_process,31,14.8
mlops_devops,29,13.9
ml_frameworks,13,6.2
cloud_infra,9,4.3
data_engineering,6,2.9
silicon_design,6,2.9
