Company,Administrative,Business Strategy,Data Center & Network,Developer Relations,Finance,Hardware Engineering,IT & Data Management,Legal & Government Relations,Manufacturing & Supply Chain,Marketing & Communications,Network Engineering,Partnerships,People Operations,Product & Customer Support,Program Management,Real Estate & Workplace Services,Sales & Account Management,Sales Operations,Software Engineering,Technical Infrastructure,Technical Solutions,Technical Writing,User Experience & Design
Google,1.63,5.6,0.18,0.45,7.5,2.35,0.27,3.79,1.45,13.55,0.45,4.79,7.68,3.25,6.23,2.17,15.0,2.8,2.8,0.99,9.12,0.45,7.5
YouTube,5.0,15.0,0.0,0.0,15.0,0.0,0.0,15.0,0.0,20.0,0.0,5.0,0.0,10.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0
