year_month,Google,YouTube
2023-01,57.0,0.0
2023-02,34.0,2.0
2023-03,68.0,2.0
2023-04,52.0,0.0
2023-05,49.0,1.0
2023-06,46.0,0.0
2023-07,64.0,0.0
2023-08,38.0,1.0
2023-09,47.0,2.0
2023-10,57.0,0.0
2023-11,43.0,1.0
2023-12,39.0,1.0
2024-01,46.0,0.0
2024-02,47.0,0.0
2024-03,44.0,2.0
2024-04,39.0,0.0
2024-05,44.0,1.0
2024-06,52.0,1.0
2024-07,33.0,1.0
2024-08,46.0,1.0
2024-09,43.0,0.0
2024-10,51.0,2.0
2024-11,30.0,1.0
2024-12,38.0,1.0
