Company,Business & Soft Skills,Cloud & Infrastructure,Data & Machine Learning,Databases,Education & Certifications,Hardware & Manufacturing,Programming Languages,Security,Web & Frameworks
Google,47.37,7.17,4.31,1.57,16.73,2.84,14.22,2.43,3.36
YouTube,51.94,0.0,8.53,2.33,16.28,2.33,15.5,1.55,1.55
