year_month,skill,mentions
2024-03,communication_skills,11
2024-03,computer_science_degree,12
2024-03,consulting,10
2024-03,cross_functional_collaboration,14
2024-03,google_cloud,13
2024-03,leadership,12
2024-03,marketing,14
2024-03,masters_degree,9
2024-03,problem_solving,9
2024-03,project_management,11
2024-03,sales,15
2024-03,stakeholder_management,13
2024-03,strategic_planning,10
2024-04,analytical_skills,7
2024-04,bachelors_degree,26
2024-04,communication_skills,3
2024-04,computer_science_degree,7
2024-04,consulting,11
2024-04,cross_functional_collaboration,12
2024-04,google_cloud,13
2024-04,leadership,7
2024-04,marketing,12
2024-04,masters_degree,5
2024-04,problem_solving,3
2024-04,project_management,6
2024-04,sales,22
2024-04,stakeholder_management,10
2024-04,strategic_planning,8
2024-05,analytical_skills,7
2024-05,bachelors_degree,33
2024-05,communication_skills,8
2024-05,computer_science_degree,10
2024-05,consulting,12
2024-05,cross_functional_collaboration,14
2024-05,google_cloud,11
2024-05,leadership,4
2024-05,marketing,13
2024-05,masters_degree,6
2024-05,problem_solving,7
2024-05,project_management,11
2024-05,sales,20
2024-05,stakeholder_management,13
2024-05,strategic_planning,11
2024-06,analytical_skills,9
2024-06,bachelors_degree,42
2024-06,communication_skills,9
2024-06,computer_science_degree,11
2024-06,consulting,9
2024-06,cross_functional_collaboration,24
2024-06,google_cloud,10
2024-06,leadership,14
2024-06,marketing,19
2024-06,masters_degree,5
2024-06,problem_solving,6
2024-06,project_management,12
2024-06,sales,24
2024-06,stakeholder_management,18
2024-06,strategic_planning,21
2024-07,analytical_skills,1
2024-07,bachelors_degree,25
2024-07,communication_skills,10
2024-07,computer_science_degree,7
2024-07,consulting,5
2024-07,cross_functional_collaboration,9
2024-07,google_cloud,12
2024-07,leadership,5
2024-07,marketing,12
2024-07,masters_degree,8
2024-07,problem_solving,5
2024-07,project_management,5
2024-07,sales,16
2024-07,stakeholder_management,9
2024-07,strategic_planning,7
2024-08,analytical_skills,11
2024-08,bachelors_degree,37
2024-08,communication_skills,10
2024-08,computer_science_degree,15
2024-08,consulting,8
2024-08,cross_functional_collaboration,17
2024-08,google_cloud,10
2024-08,leadership,15
2024-08,marketing,16
2024-08,masters_degree,6
