date,weeks_ahead,forecast,lower_80,upper_80
2026-09-09,1,416.25,405.06,427.44
2026-09-16,2,416.25,400.43,432.07
2026-09-23,3,416.25,396.87,435.63
2026-09-30,4,416.25,393.87,438.63
2026-10-07,5,416.25,391.23,441.27
2026-10-14,6,416.25,388.84,443.66
2026-10-21,7,416.25,386.65,445.85
2026-10-28,8,416.25,384.6,447.9
2026-11-04,9,416.25,382.68,449.82
2026-11-11,10,416.25,380.87,451.63
2026-11-18,11,416.25,379.14,453.36
2026-11-25,12,416.25,377.49,455.01
