series,observations,chosen_model,backtest_MAE,backtest_MAPE_pct,naive_MAE,forecast_12w,lower_80_12w,upper_80_12w
open_roles,12,Simple exponential smoothing,5.91,1.38,9.0,416.25,377.49,455.01
new_per_day,11,Mean of last 3,1.99,10.4,3.02,17.7,7.63,27.78
