model,MAE,MAPE_pct,bias,residual_sd
Mean of last 3,1.99,10.4,-1.74,2.27
Holt linear trend,2.42,12.97,-1.17,2.82
Simple exponential smoothing,2.78,15.12,-0.74,3.21
Naive (last value),3.02,16.51,-0.5,3.49
Drift,3.23,17.77,-0.36,3.72
