date,weeks_ahead,forecast,lower_80,upper_80
2026-09-09,1,17.7,14.79,20.61
2026-09-16,2,17.7,13.59,21.82
2026-09-23,3,17.7,12.66,22.74
2026-09-30,4,17.7,11.88,23.52
2026-10-07,5,17.7,11.2,24.21
2026-10-14,6,17.7,10.58,24.83
2026-10-21,7,17.7,10.01,25.4
2026-10-28,8,17.7,9.47,25.93
2026-11-04,9,17.7,8.98,26.43
2026-11-11,10,17.7,8.5,26.9
2026-11-18,11,17.7,8.05,27.35
2026-11-25,12,17.7,7.63,27.78
