skill,year_month,forecast_mentions
data_mining,2025-01,0.8
data_mining,2025-02,0.8
data_mining,2025-03,0.8
data_mining,2025-04,0.8
data_mining,2025-05,0.8
data_mining,2025-06,0.8
virtualization,2025-01,0.7
virtualization,2025-02,0.7
virtualization,2025-03,0.7
virtualization,2025-04,0.8
virtualization,2025-05,0.8
virtualization,2025-06,0.8
ruby,2025-01,1.1
ruby,2025-02,1.2
ruby,2025-03,1.2
ruby,2025-04,1.2
ruby,2025-05,1.2
ruby,2025-06,1.3
